num episodio,learning constant,discount factor,exploration factor,acumulated reward
114,0.5,0.95,0.95,-18.525216569152605
115,0.5,0.95,0.95,-19.294657584797548
116,0.5,0.95,0.95,-20.314221297475697
117,0.5,0.95,0.95,-19.66372779086398
118,0.5,0.95,0.95,-23.829245280133872
119,0.5,0.95,0.95,-17.720849958103678
120,0.5,0.95,0.95,-21.225661280697697
121,0.5,0.95,0.95,-21.77589069925081
122,0.5,0.95,0.95,-17.17258083917572
123,0.5,0.95,0.95,-19.66278512860589
124,0.5,0.95,0.95,-17.548419562316973
125,0.5,0.95,0.95,-22.023133933985765
126,0.5,0.95,0.95,-18.817495713929276
127,0.5,0.95,0.95,-19.554208893965505
128,0.5,0.95,0.95,-19.719304387776614
129,0.5,0.95,0.95,-19.99124644858029
130,0.5,0.95,0.95,-18.26978886533595
131,0.5,0.95,0.95,-18.872941928452015
132,0.5,0.95,0.95,-22.48649424952983
133,0.5,0.95,0.95,-21.06816642606764
134,0.5,0.95,0.95,-19.645931302280943
135,0.5,0.95,0.95,-21.26916269412796
136,0.5,0.95,0.95,-14.668211025812273
137,0.5,0.95,0.95,-19.687587654508903
138,0.5,0.95,0.95,-18.458876621003345
139,0.5,0.95,0.95,-26.889604821917143
140,0.5,0.95,0.95,-21.22631018452719
141,0.5,0.95,0.95,-17.626024260939268
142,0.5,0.95,0.95,-20.439659498717557
143,0.5,0.95,0.95,-20.027605162308333
144,0.5,0.95,0.95,-19.203910320313128
145,0.5,0.95,0.95,-17.097206211741156
146,0.5,0.95,0.95,-22.40374690296029
147,0.5,0.95,0.95,-17.45664849796834
148,0.5,0.95,0.95,-19.70850455242942
149,0.5,0.95,0.95,-15.904672791577019
150,0.5,0.95,0.95,-19.586973813692648
151,0.5,0.95,0.95,-21.953752420016116
152,0.5,0.95,0.95,-17.683892704139602
153,0.5,0.95,0.95,-18.70491839513201
154,0.5,0.95,0.95,-19.244833681775233
155,0.5,0.95,0.95,-18.882699160021936
156,0.5,0.95,0.95,-18.95434603346903
157,0.5,0.95,0.95,-18.609257990126604
158,0.5,0.95,0.95,-19.230282878131256
159,0.5,0.95,0.95,-18.45517545484942
160,0.5,0.95,0.95,-19.63070586821687
161,0.5,0.95,0.95,-22.490287194916643
162,0.5,0.95,0.95,-22.36796195686295
163,0.5,0.95,0.95,-19.349878670602912
164,0.5,0.95,0.95,-19.486950912547123
165,0.5,0.95,0.95,-17.520515168562014
166,0.5,0.95,0.95,-19.465804353775795
167,0.5,0.95,0.95,-22.338641267670244
168,0.5,0.95,0.95,-19.60901277063387
169,0.5,0.95,0.95,-22.553980905888505
170,0.5,0.95,0.95,-15.790640112733964
171,0.5,0.95,0.95,-17.236140553557814
172,0.5,0.95,0.95,-19.537100880662685
173,0.5,0.95,0.95,-18.7859359935646
